text,gloss
[ASL] Show me Sign 0000,[ASL] SHOW ME SIGN 0000
[ASL] This is Sign 0000,[ASL] THIS SIGN 0000
[ASL] See Sign 0000,[ASL] SEE SIGN 0000
[ASL] This is Sign 0001,[ASL] THIS SIGN 0001
[ASL] Show me Sign 0001,[ASL] SHOW ME SIGN 0001
[ASL] Translate Sign 0001,[ASL] TRANSLATE SIGN 0001
[ASL] This is Sign 0002,[ASL] THIS SIGN 0002
[ASL] Translate Sign 0002,[ASL] TRANSLATE SIGN 0002
[ASL] Repeat Sign 0002,[ASL] REPEAT SIGN 0002
[ASL] What is Sign 0003?,[ASL] WHAT SIGN 0003?
[ASL] See Sign 0003,[ASL] SEE SIGN 0003
[ASL] Learn Sign 0003,[ASL] LEARN SIGN 0003
[ASL] What is Sign 0004?,[ASL] WHAT SIGN 0004?
[ASL] Can you sign Sign 0004?,[ASL] CAN YOU SIGN SIGN 0004?
[ASL] Repeat Sign 0004,[ASL] REPEAT SIGN 0004
[ASL] I like Sign 0005,[ASL] I LIKE SIGN 0005
[ASL] See Sign 0005,[ASL] SEE SIGN 0005
[ASL] Translate Sign 0006,[ASL] TRANSLATE SIGN 0006
[ASL] Show me Sign 0006,[ASL] SHOW ME SIGN 0006
[ASL] Wait for Sign 0007,[ASL] WAIT FOR SIGN 0007
[ASL] Can you sign Sign 0007?,[ASL] CAN YOU SIGN SIGN 0007?
[ASL] See Sign 0007,[ASL] SEE SIGN 0007
[ASL] Wait for Sign 0008,[ASL] WAIT FOR SIGN 0008
[ASL] This is Sign 0008,[ASL] THIS SIGN 0008
[ASL] Translate Sign 0009,[ASL] TRANSLATE SIGN 0009
[ASL] Repeat Sign 0009,[ASL] REPEAT SIGN 0009
[ASL] Can you sign Sign 0009?,[ASL] CAN YOU SIGN SIGN 0009?
[ASL] Show me Sign 0010,[ASL] SHOW ME SIGN 0010
[ASL] Learn Sign 0010,[ASL] LEARN SIGN 0010
[ASL] Repeat Sign 0010,[ASL] REPEAT SIGN 0010
[ASL] See Sign 0011,[ASL] SEE SIGN 0011
[ASL] Can you sign Sign 0011?,[ASL] CAN YOU SIGN SIGN 0011?
[ASL] Learn Sign 0011,[ASL] LEARN SIGN 0011
[ASL] What is Sign 0012?,[ASL] WHAT SIGN 0012?
[ASL] Can you sign Sign 0012?,[ASL] CAN YOU SIGN SIGN 0012?
[ASL] Translate Sign 0013,[ASL] TRANSLATE SIGN 0013
[ASL] Learn Sign 0013,[ASL] LEARN SIGN 0013
[ASL] What is Sign 0013?,[ASL] WHAT SIGN 0013?
[ASL] Repeat Sign 0014,[ASL] REPEAT SIGN 0014
[ASL] Show me Sign 0014,[ASL] SHOW ME SIGN 0014
[ASL] Learn Sign 0014,[ASL] LEARN SIGN 0014
[ASL] Repeat Sign 0015,[ASL] REPEAT SIGN 0015
[ASL] Show me Sign 0015,[ASL] SHOW ME SIGN 0015
[ASL] See Sign 0015,[ASL] SEE SIGN 0015
[ASL] Repeat Sign 0016,[ASL] REPEAT SIGN 0016
[ASL] This is Sign 0016,[ASL] THIS SIGN 0016
[ASL] See Sign 0016,[ASL] SEE SIGN 0016
[ASL] What is Sign 0017?,[ASL] WHAT SIGN 0017?
[ASL] Can you sign Sign 0017?,[ASL] CAN YOU SIGN SIGN 0017?
[ASL] Repeat Sign 0017,[ASL] REPEAT SIGN 0017
[ASL] Repeat Sign 0018,[ASL] REPEAT SIGN 0018
[ASL] What is Sign 0018?,[ASL] WHAT SIGN 0018?
[ASL] See Sign 0018,[ASL] SEE SIGN 0018
[ASL] Learn Sign 0019,[ASL] LEARN SIGN 0019
[ASL] See Sign 0019,[ASL] SEE SIGN 0019
[ASL] This is Sign 0020,[ASL] THIS SIGN 0020
[ASL] I like Sign 0020,[ASL] I LIKE SIGN 0020
[ASL] Learn Sign 0020,[ASL] LEARN SIGN 0020
[ASL] What is Sign 0021?,[ASL] WHAT SIGN 0021?
[ASL] This is Sign 0021,[ASL] THIS SIGN 0021
[ASL] I like Sign 0022,[ASL] I LIKE SIGN 0022
[ASL] Learn Sign 0022,[ASL] LEARN SIGN 0022
[ASL] Repeat Sign 0023,[ASL] REPEAT SIGN 0023
[ASL] This is Sign 0023,[ASL] THIS SIGN 0023
[ASL] See Sign 0024,[ASL] SEE SIGN 0024
[ASL] Can you sign Sign 0024?,[ASL] CAN YOU SIGN SIGN 0024?
[ASL] See Sign 0025,[ASL] SEE SIGN 0025
[ASL] Can you sign Sign 0025?,[ASL] CAN YOU SIGN SIGN 0025?
[ASL] Show me Sign 0025,[ASL] SHOW ME SIGN 0025
[ASL] See Sign 0026,[ASL] SEE SIGN 0026
[ASL] Repeat Sign 0026,[ASL] REPEAT SIGN 0026
[ASL] What is Sign 0026?,[ASL] WHAT SIGN 0026?
[ASL] I like Sign 0027,[ASL] I LIKE SIGN 0027
[ASL] Repeat Sign 0027,[ASL] REPEAT SIGN 0027
[ASL] Can you sign Sign 0027?,[ASL] CAN YOU SIGN SIGN 0027?
[ASL] This is Sign 0028,[ASL] THIS SIGN 0028
[ASL] Show me Sign 0028,[ASL] SHOW ME SIGN 0028
[ASL] I like Sign 0028,[ASL] I LIKE SIGN 0028
[ASL] See Sign 0029,[ASL] SEE SIGN 0029
[ASL] Repeat Sign 0029,[ASL] REPEAT SIGN 0029
[ASL] Learn Sign 0029,[ASL] LEARN SIGN 0029
[ASL] Can you sign Sign 0030?,[ASL] CAN YOU SIGN SIGN 0030?
[ASL] Learn Sign 0030,[ASL] LEARN SIGN 0030
[ASL] This is Sign 0031,[ASL] THIS SIGN 0031
[ASL] Repeat Sign 0031,[ASL] REPEAT SIGN 0031
[ASL] See Sign 0031,[ASL] SEE SIGN 0031
[ASL] Show me Sign 0032,[ASL] SHOW ME SIGN 0032
[ASL] See Sign 0032,[ASL] SEE SIGN 0032
[ASL] What is Sign 0032?,[ASL] WHAT SIGN 0032?
[ASL] Wait for Sign 0033,[ASL] WAIT FOR SIGN 0033
[ASL] I like Sign 0033,[ASL] I LIKE SIGN 0033
[ASL] Translate Sign 0034,[ASL] TRANSLATE SIGN 0034
[ASL] I like Sign 0034,[ASL] I LIKE SIGN 0034
[ASL] See Sign 0034,[ASL] SEE SIGN 0034
[ASL] I like Sign 0035,[ASL] I LIKE SIGN 0035
[ASL] This is Sign 0035,[ASL] THIS SIGN 0035
[ASL] Can you sign Sign 0035?,[ASL] CAN YOU SIGN SIGN 0035?
[ASL] Wait for Sign 0036,[ASL] WAIT FOR SIGN 0036
[ASL] What is Sign 0036?,[ASL] WHAT SIGN 0036?
[ASL] Show me Sign 0036,[ASL] SHOW ME SIGN 0036
[ASL] Wait for Sign 0037,[ASL] WAIT FOR SIGN 0037
[ASL] Translate Sign 0037,[ASL] TRANSLATE SIGN 0037
[ASL] What is Sign 0037?,[ASL] WHAT SIGN 0037?
[ASL] Can you sign Sign 0038?,[ASL] CAN YOU SIGN SIGN 0038?
[ASL] What is Sign 0038?,[ASL] WHAT SIGN 0038?
[ASL] This is Sign 0038,[ASL] THIS SIGN 0038
[ASL] Learn Sign 0039,[ASL] LEARN SIGN 0039
[ASL] Can you sign Sign 0039?,[ASL] CAN YOU SIGN SIGN 0039?
[ASL] Translate Sign 0040,[ASL] TRANSLATE SIGN 0040
[ASL] I like Sign 0040,[ASL] I LIKE SIGN 0040
[ASL] Learn Sign 0040,[ASL] LEARN SIGN 0040
[ASL] Repeat Sign 0041,[ASL] REPEAT SIGN 0041
[ASL] Can you sign Sign 0041?,[ASL] CAN YOU SIGN SIGN 0041?
[ASL] Show me Sign 0041,[ASL] SHOW ME SIGN 0041
[ASL] Translate Sign 0042,[ASL] TRANSLATE SIGN 0042
[ASL] Can you sign Sign 0042?,[ASL] CAN YOU SIGN SIGN 0042?
[ASL] Translate Sign 0043,[ASL] TRANSLATE SIGN 0043
[ASL] This is Sign 0043,[ASL] THIS SIGN 0043
[ASL] Show me Sign 0043,[ASL] SHOW ME SIGN 0043
[ASL] Learn Sign 0044,[ASL] LEARN SIGN 0044
[ASL] Wait for Sign 0044,[ASL] WAIT FOR SIGN 0044
[ASL] What is Sign 0044?,[ASL] WHAT SIGN 0044?
[ASL] Show me Sign 0045,[ASL] SHOW ME SIGN 0045
[ASL] This is Sign 0045,[ASL] THIS SIGN 0045
[ASL] Translate Sign 0045,[ASL] TRANSLATE SIGN 0045
[ASL] Show me Sign 0046,[ASL] SHOW ME SIGN 0046
[ASL] See Sign 0046,[ASL] SEE SIGN 0046
[ASL] I like Sign 0046,[ASL] I LIKE SIGN 0046
[ASL] This is Sign 0047,[ASL] THIS SIGN 0047
[ASL] Translate Sign 0047,[ASL] TRANSLATE SIGN 0047
[ASL] See Sign 0047,[ASL] SEE SIGN 0047
[ASL] Repeat Sign 0048,[ASL] REPEAT SIGN 0048
[ASL] What is Sign 0048?,[ASL] WHAT SIGN 0048?
[ASL] Translate Sign 0048,[ASL] TRANSLATE SIGN 0048
